"review-comment","feature"
"Few months later I took it for services and the service guy talked about some policy that does not cover","warranty"
"warranty for the phone was not covered","warranty"
"Getting good features for money invested","value for money"
"I paid a sum for this phone and so far liking it.","value for money"
"It is exactly what I wanted for the price paid","value for money"
"It is good phone and I find it is worth the money","value for money"
"Value for money.","value for money"
"Easy to handle","user friendly"
"This is test comment","test"
"internal storage is very good","storage"
"bulletproof screen very good","screen"
"I can watch movies, play games and the display is quite bright and screen is because","screen"
"Screen is wide and good to watch movies.","screen"
"This phone touch getting unresponsive very frequently","screen"
"touch screen experience is great","screen"
"lightening fast processor","processor"
"processor quite good can run multiple apps at a time","processor"
"run multiple apps same time very fast","processor"
"seamless app running experience. Very fast","processor"
"Wonderful chipsets works well with many apps simultaneously. Chip","processor"
"I could shoot awesome pictures using the phone","picture quality"
"photos are clear with clear details","picture quality"
"picture quality is quite good","picture quality"
"the snaps taken are very vibrant with great colours","picture quality"
"Launched more than 4 apps and the phone became unresponsive","phone hangs"
"phone hangs","phone hangs"
"unresponsive","phone hangs"
"Also good with many apps and games","performance"
"Good to play games and watch movies","performance"
"responsive fast","performance"
"switch quickly between apps","performance"
"very fast and responsive","performance"
"delivered in good shape packing","packaging"
"nicely packed","packaging"
"Packaging was good","packaging"
"shipped with great care","packaging"
"The package was broken and the phone was out","packaging"
"Amazing experience","overall"
"I do not have words to say","overall"
"I love this phone.","overall"
"Overall good quality phone","overall"
"Overall performance very good. great phone","overall"
"new features","new features"
"nothing major change","new features"
"same as older versions","new features"
"The new phone features has been upgraded to a very nice level","new features"
"update updates upgrade","new features"
"good RAM management","memory"
"memory management","memory"
"Can watch movies for long the phone does not hate up","heating"
"I was talking and could not hold the phone as it got hate","heating"
"phone gets hate","heating"
"the phone gets hate up like iron rod","heating"
"the phone has got heating issue","heating"
"Fell from my hands and the phone broke weak smashed","durable"
"glass finish","durable"
"It fell from my hands and broke","durable"
"not durable","durable"
"very weak phone","durable"
"Display is vibrant and because","display"
"Good to watch movies, play games","display"
"The apps are clear and has bright display.","display"
"The phone has got very good screen and display is bright","display"
"The phone screen is because and has great display","display"
"Design is quite good. Looks good.","design"
"Good phone to talk as it can be held in hand very easily","design"
"I am proud to have this great looking gadget","design"
"It has very nice design.","design"
"Sleek and very easy to grab in hand.","design"
"Very thin and looks elegant.","design"
"defective piece device","defective device"
"I got a defective phone. Not working well","defective device"
"My phone is not turning on","defective device"
"Phone was broken when I opened the pack","defective device"
"The device did not work properly","defective device"
"the phone was damaged","defective device"
"battery charger is defective","charger"
"charger has got issue","charger"
"Charging for long but does not get charged","charger"
"defective charger problem","charger"
"time taken for charging","charger"
"camera is quite good","camera"
"camera quality","camera"
"good camera","camera"
"I can shoot pretty nice pictures photos snaps from the phone","camera"
"I like the camera most","camera"
"All apps running and battery does not die soon","battery"
"Battery performance","battery"
"good battery backup and even if we run all apps the battery keeps up all the time","battery"
"I ran 4 apps and watched movie for 1 hour and the battery dies soon","battery"
"with all the apps running the phone kept running for long","battery"